Sr. No.,Company,BSE Code
428,Jindal Saw Ltd.,500378
429,RBL Bank Limited,540065
430,Choice International Ltd,531358
431,Supreme Petrochem Ltd.,500405
432,R R KABEL LIMITED,543981
433,Paradeep Phosphates Limited,543530
434,Schloss Bangalore Limited,544408
435,KSB LIMITED,500249
436,Great Eastern Shipping Co. Ltd.,500620
437,JM Financial Limited,523405
438,Swan Corp Limited,503310
439,Craftsman Automation Limited,543276
440,INTELLECT DESIGN ARENA LIMITED,538835
441,Ceat Ltd.,500878
442,Action Construction Equipments Ltd.,532762
443,NCC Limited,500294
444,Cyient Limited,532175
445,Blue Jet Healthcare Limited,544009
446,EMBASSY DEVELOPMENTS LIMITED,532832
447,Finolex Cables Ltd.,500144
448,Indegene Limited,544172
449,Nuvoco Vistas Corporation Limited,543334
450,GODAWARI POWER AND ISPAT LTD.,532734
451,Clean Science and Technology Limited,543318
452,Mahanagar Gas Limited,539957
453,GALLANTT ISPAT LIMITED,532726
454,Elecon Engineering Co.Ltd.,505700
455,Vardhman Textiles Limted,502986
456,Bombay Burmah Trading Corpn. Ltd.,501425
457,Sanofi India Ltd,500674
458,GRAVITA INDIA LIMITED,533282
459,Dr. Agarwal's Health Care Limited,544350
460,Cello World Limited,544012
461,Home First Finance Company India Limited,543259
462,Zydus Wellness Limited,531335
463,Gujarat Mineral Development Corpora,532181
464,JYOTHY LABS LIMITED,532926
465,Finolex Industries Ltd.,500940
466,RITES Limited,541556
467,WELSPUN LIVING LIMITED,514162
468,Kirloskar Oil Engines Limited,533293
469,Cemindia Projects Limited,509496
470,ALIVUS LIFE SCIENCES LIMITED,543322
471,Gabriel India Ltd.,505714
472,Vikram Solar Limited,544488
473,Minda Corporation Limited,538962
474,Reliance Infrastructure Ltd,500390
475,Allied Blenders and Distillers Limited,544203
476,Jaiprakash Power Ventures Limited,532627
477,Ingersoll-Rand (India) Ltd.,500210
478,Tata Teleservices (Maharashtra) Ltd.,532371
479,Tejas Networks Limited,540595
480,RailTel Corporation of India Limited,543265
481,G R Infraprojects Limited,543317
482,Granules India Ltd.,532482
483,Lemon Tree Hotels Limited,541233
484,Zee Entertainment Enterprises Ltd.,505537
485,Sanofi Consumer Healthcare India Limited,544250
486,NETWEB TECHNOLOGIES INDIA LIMITED,543945
487,TITAGARH RAIL SYSTEMS LIMITED,532966
488,Engineers India Ltd.,532178
489,SBFC Finance Limited,543959
490,HFCL LIMITED,500183
491,Syrma SGS Technology Limited,543573
492,NMDC Steel Limited,543768
493,Anupam Rasayan India Limited,543275
494,Jubilant Ingrevia Limited,543271
495,Balrampur Chini Mills Ltd.,500038
496,Jammu and Kashmir Bank Ltd.,532209
497,ramkrishna forgings Ltd.,532527
498,BELRISE INDUSTRIES LIMITED,544405
499,WESTLIFE FOODWORLD LIMITED,505533
500,Relaxo Footwears Ltd.,530517
501,Tega Industries Limited,543413
502,BIRLASOFT LIMITED,532400
503,Prudent Corporate Advisory Services Limited,543527
504,Eureka Forbes Limited,543482
505,OLECTRA GREENTECH LIMITED,532439
506,CCL Products (India) Ltd.,519600
507,Shakti Pumps (India) Ltd.,531431
508,Nazara Technologies Limited,543280
509,Sonata Software Ltd.,532221
510,Usha Martin Ltd.,517146
511,India Cements Ltd.,530005
512,WAAREE RENEWABLE TECHNOLOGIES LIMITED,534618
513,Vesuvius India Ltd.,520113
514,Sammaan Capital Limited,535789
515,Safari Industries (India) Ltd.,523025
516,Genus Power Infrastructures Ltd,530343
517,INOX India Limited,544046
518,SHRIRAM PISTONS & RINGS LTD,544344
519,JK Lakshmi Cement Limited,500380
520,Vijaya Diagnostic Centre Limited,543350
521,Graphite India Ltd.,509488
522,VALOR ESTATE LIMITED,533160
523,Azad Engineering Limited,544061
524,Alkyl Amines Chemicals Ltd.,506767
525,Sapphire Foods India Limited,543397
526,Avanti Feeds ltd.,512573
527,Aether Industries Limited,543534
528,Jai Balaji Industries Limited,532976
529,Medplus Health Services Limited,543427
530,Chennai Petroleum Corporation Ltd.,500110
531,Can Fin Homes Ltd.,511196
532,ACUTAAS CHEMICALS LIMITED,543349
533,Marksans Pharma Ltd.,524404
534,PVR INOX LIMITED,532689
535,Birla Corporation Ltd.,500335
536,Saregama India Ltd.,532163
537,RHI MAGNESITA INDIA LIMITED,534076
538,Sudarshan Chemical Indus. Ltd.,506655
539,C.E. Info Systems Limited,543425
540,MMTC Ltd.,513377
541,Edelweiss Financial Services Ltd.,532922
542,HEG Ltd.,509631
543,PROCTER & GAMBLE HEALTH LIMITED,500126
544,India Shelter Finance Corporation Limited,544044
545,Star Cement Limited,540575
546,Metropolis Healthcare Limited,542650
547,Time Technoplast Limited,532856
548,Jupiter Life Line Hospitals Limited,543980
549,Shipping Corporation Of India Ltd,523598
550,Power Mech Projects Limited,539302
551,JK Tyre & Industries Ltd.,530007
552,KPI Green Energy Limited,542323
553,ASK Automotive Limited,544022
554,Astra Microwave Products Ltd.,532493
555,VA Tech Wabag Limited,533269
556,Jeena Sikho Lifecare Limited,544476
557,Alok Industries Ltd.,521070
558,Sri Lotus Developers and Realty Limited,544469
559,Kama Holdings Limited,532468
560,Honasa Consumer Limited,544014
561,CarTrade Tech Limited,543333
562,IIFL CAPITAL SERVICES LIMITED,542773
563,Maharashtra Seamless Ltd.,500265
564,Happiest Minds Technologies Limited,543227
565,LLOYDS ENTERPRISES LIMITED,512463
566,Bengal & Assam Company Limited,533095
