Sr. No.,Company,BSE Code
1406,Allied Digital Services Limited,532875
1407,Veritas (India) Limited,512229
1408,Sree Rayalaseema Hi-Strength Hypo Limited,532842
1409,Xchanging Solutions Limited,532616
1410,Hexa Tradex Limited,534328
1411, Max India Limited,543223
1412,Saint-Gobain Sekurit India Ltd.,515043
1413,SRM CONTRACTORS LIMITED,544158
1414,Kwality Pharmaceuticals Limited,539997
1415,ASIAN GRANITO INDIA LIMITED,532888
1416,Z.F. Steering Gear (India) Limited,505163
1417,Kuantum Papers Limited,532937
